baseline,baseline,baseline,baseline,baseline,SI5,SI5,SI5,SI5,SI5,SI1000,SI1000,SI1000,SI1000,SI1000,adaptive_jerk_5,adaptive_jerk_5,adaptive_jerk_5,adaptive_jerk_5,adaptive_jerk_5,iterative_error_5,iterative_error_5,iterative_error_5,iterative_error_5,iterative_error_5,magvel_change_5,magvel_change_5,magvel_change_5,magvel_change_5,magvel_change_5,
optTime,Cost reduction,avgPercentDerivs,avgTimeDerivs,numIterations,optTime,Cost reduction,avgPercentDerivs,avgTimeDerivs,numIterations,optTime,Cost reduction,avgPercentDerivs,avgTimeDerivs,numIterations,optTime,Cost reduction,avgPercentDerivs,avgTimeDerivs,numIterations,optTime,Cost reduction,avgPercentDerivs,avgTimeDerivs,numIterations,optTime,Cost reduction,avgPercentDerivs,avgTimeDerivs,numIterations,
6833.12,0.863137,100,1481.65,4,2972.09,0.901119,20.0357,307.332,6,701.106,0.935609,0.142857,11.3474,5,1495.4,0.929103,1.35582,32.404,7,1638.33,0.939846,3.24256,89.3187,8,1734.05,0.93055,3.06009,67.0468,8,
4938.3,0.144781,100,1047.22,4,1620.58,0.147043,20.0357,221.989,4,882.638,0.357016,0.142857,8.0422,5,805.418,0.157163,1.04563,17.4475,4,1126.47,0,0.531746,6.885,3,941.163,0.146945,2.66468,51.9095,4,
4918.89,0.163896,100,1049.21,4,1615.51,0.166034,20.0357,225.04,4,930.864,0.351974,0.142857,11.7898,5,788.072,0.173573,1.04762,20.8562,4,536.786,0.169249,0.554563,21.1182,4,887.036,0.165645,2.05258,42.2535,4,
3126.45,0.00401199,100,737.771,3,1392.38,0.000763197,20.0357,168.744,3,594.346,0.303793,0.142857,8.5764,5,671.198,0.00283439,1.07937,21.3817,3,1049.15,0.00305039,3.37698,50.5423,3,917.283,0.00540034,2.43452,34.84,3,
6792.4,0.325827,100,1188.35,5,2099.22,0.330053,20.0357,250.991,5,935.367,0.327549,0.142857,13.9036,5,965.465,0.328632,1.15556,20.8446,5,618.492,0.236887,0.893849,30.3335,4,1261.87,0.330209,4.18571,80.8826,5,
6948.6,0.311636,100,1224.25,5,2114.44,0.310392,20.0357,263.471,5,1127.65,0.400802,0.142857,14.465,6,941.878,0.313923,1.05714,19.829,5,1021.57,0.305895,0.669048,23.332,5,1280.24,0.310078,3.88333,88.186,5,
8072.19,0.589965,100,1422.53,5,3714.57,0.655761,20.0357,307.587,8,701.298,0.0516736,0.142857,17.8227,3,1547.71,0.69211,1.97222,64.3507,7,1224.56,0.45059,3.80357,104.922,4,1167.65,0.0872145,3.56481,62.4005,4,
5002.89,0.154706,100,1058.36,4,1650.6,0.156752,20.0357,225.833,4,578.216,0.131366,0.142857,7.73925,4,790.333,0.165072,1.05159,17.4465,4,1161.44,0.241917,1.13955,34.9927,6,939.971,0.155706,2.71131,59.6262,4,
5033.66,0.143202,100,1072.23,4,1648.7,0.144405,20.0357,228.978,4,876.682,0.35855,0.142857,7.9296,5,791.02,0.151422,1.04365,17.7462,4,1143.27,0,0.686508,8.76167,3,941.741,0.143928,2.69742,56.6152,4,
4643.62,0.2002,100,1026.24,4,2609.56,0.327468,20.0357,224.89,7,803.462,0.193064,0.142857,20.0505,4,796.237,0.209343,1.0625,19.8545,4,1161.43,0.294168,2.04603,61.1472,5,1158.08,0.204706,5.52381,110.298,4,
5236.17,0.151076,100,1112.86,4,1729.45,0.154237,20.0357,240.333,4,929.4,0.36154,0.142857,9.7304,5,848.032,0.162076,1.06448,19.6328,4,1108.68,0.217726,1.19974,43.1915,6,1051.1,0.15212,3.01687,71.853,4,
2336.03,0,100,432.709,3,1409,0.0891686,20.0357,271.331,3,1228.39,0.81045,0.142857,10.1103,6,1071.77,0,1.21032,11.02,3,972.277,0.0748749,5.44974,137.236,3,902.787,0.0849347,3.14153,75.89,3,
6091.13,0.330098,100,1057.54,5,1961.4,0.297384,20.0357,224.357,5,879.796,0.236809,0.142857,9.0314,5,882.964,0.298923,1.12619,20.823,5,995.903,0.26029,0.765079,28.1574,5,1364.59,0.299227,6.2127,118.765,5,
6199.66,0.274732,100,1056.71,5,1817.49,0.275163,20.0357,223.725,5,1099.48,0.264723,0.142857,16.1168,6,1020.78,0.277552,1.07778,21.1554,5,955.289,0.116614,1.39187,48.2282,4,1145.62,0.277994,4.86111,88.6942,5,
6031.37,0.246587,100,1042.57,5,1909.29,0.23593,20.0357,223.796,5,1050.37,0.338615,0.142857,7.98233,6,947.243,0.252255,1.11984,20.7854,5,947.103,0.264691,0.613492,24.0188,5,1226.46,0.243061,4.45079,87.5524,5,
